Course code,Course Name,branch,semester,LTPSC,faculty,strength,type
EC465,Hands on CMOS Analog and RF circuit design,CSE (separate),7,4-0-0-0-4,"Dr. Rajesh Kumar",60,elective
ASD352,User Interactions and Experience Design,CSE (separate),7,4-0-0-0-4,"Dr. Sandesh P",60,elective
PH454,Quantum Gen AI: Generative Models on Quantum Platform,CSE (separate),7,3-1-0-0-4,"Dr. Aswath Babu",60,elective
CS455,DevOps and its Applications,CSE (separate),7,3-1-0-0-4,"Dr. Shirshendu Layek",60,elective
CS457,Agentic AI,CSE (separate),7,4-0-0-0-4,"Dr. Sunil Saumya",60,elective
DS458,Information Retrieval,CSE (separate),7,4-0-0-0-4,"Dr. Krishnendu",60,elective
CS473,Cloud SRE and Security,CSE (separate),7,4-0-0-0-4,"Dr. Malay Kumar",60,elective
CS470,Software Defined Networks,CSE (separate),7,4-0-0-0-4,"Dr. Jagadeesha R Bhat",60,elective
CS474,AI for Cybersecurity and Finance,CSE (separate),7,4-0-0-0-4,"Dr. Abdul Wahid",60,elective
DS102,Accounting,CSE (separate),7,4-0-0-0-4,"Dr. Anushree",60,elective
MA452,Operation Research,CSE (separate),7,4-0-0-0-4,"Dr. Anand Barangi",60,elective
EC463,Energy Efficient Neural Networks,CSE (separate),7,4-0-0-0-4,"Dr. Jagadish D N",60,elective
CS471,Mini Project II,CSE (separate),7,2-0-0-0-2,"Dr. Animesh Roy, Dr. Pramod",60,core
